" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"40135 MUÑOPEDRO",           1,
,"40138 NAVA DE LA ASUNCION",          14,
,"40139 NAVAFRIA",           2,
,"40141 NAVALMANZANO",          10,
,"40145 NAVAS DE ORO",           4,
,"40149 OLOMBRADA",           3,
,"40151 ORTIGOSA DE PESTAÑO",           2,
,"40155 PALAZUELOS DE ERESMA",           3,
,"40160 PINARNEGRILLO",           1,
,"40162 PRADENA",          10,
,"40164 RAPARIEGOS",           3,
,"40168 RIAGUAS DE SAN BARTOLOME",           1,
,"40170 RIAZA",           1,
,"40176 SAMBOAL",           6,
,"40179 SANCHONUÑO",           7,
,"40180 SANGARCIA",           1,
,"40181 REAL SITIO DE SAN ILDEFONSO",          26,
,"40183 SAN MIGUEL DE BERNUY",           9,
,"40185 SANTA MARIA LA REAL DE NIEVA",           3,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           4,
,"40191 SANTO TOME DEL PUERTO",           1,
,"40193 SEBULCOR",           3,
,"40194 SEGOVIA",         129,
,"40195 SEPULVEDA",           7,
,"40205 TORREIGLESIAS",           2,
,"40207 TRESCASAS",           1,
,"40208 TUREGANO",           3,
,"40215 VALTIENDAS",           2,
,"40216 VALVERDE DEL MAJANO",           4,
,"40219 VALLELADO",           1,
,"40222 VEGANZONES",           1,
,"40223 VEGAS DE MATUTE",           3,
,"40225 VILLACASTIN",          20,
,"40228 VILLAVERDE DE ISCAR",           4,
,"40230 VILLEGUILLO",           1,
,"40231 YANGUAS DE ERESMA",           1,
,"40234 ZARZUELA DEL PINAR",           3,
,"40901 ORTIGOSA DEL MONTE",           1,
,"42004 AGREDA",          19,
,"42020 ALMAZAN",          31,
,"42022 ALMENAR DE SORIA",           2,
,"42025 ARCOS DE JALON",           6,
,"42032 BAYUBAS DE ABAJO",           1,
,"42035 BERLANGA DE DUERO",           2,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",          24,
,"42045 CABREJAS DEL PINAR",          20,
,"42055 CASAREJOS",           2,
,"42057 CASTILRUIZ",          11,
,"42058 CASTILLEJO DE ROBLEDO",           1,
,"42069 COVALEDA",          20,
,"42071 CUBO DE LA SOLANA",           1,
,"42078 DURUELO DE LA SIERRA",          11,
,"42086 FUENTECAMBRON",           1,
,"42087 FUENTECANTOS",           2,
,"42094 GARRAY",           1,
,"42096 GOMARA",           8,
,"42103 LANGA DE DUERO",           2,
,"42110 MATALEBRERAS",           2,
,"42111 MATAMALA DE ALMAZAN",           1,
,"42113 MEDINACELI",           2,
,"42117 MOLINOS DE DUERO",           1,
,"42119 MONTEAGUDO DE LAS VICARIAS",           1,
,"42125 MURIEL VIEJO",           1,
,"42128 NARROS",           2,
,"42129 NAVALENO",           8,
,"42130 NEPAS",           2,
,"42134 OLVEGA",          50,
,"42149 RABANOS (LOS)",           3,
,"42160 ROYO (EL)",           1,
